sampleID,plateID,Tube Row,Tube Column,extractionid,extractionconcentration,LibID,LIBplateID,Data_yield,Reseq,Type,Index_plate,Reason,Selected_for_reprep
ID1490,EXT00001,A,1,EXT-MX001-A1,49.2,LIB-MX001-A1,LIB0001 (Index A),5.3,x,sample,A,contamination,selected
ID1122,EXT00001,A,2,EXT-MX001-A2,66.4,LIB-MX001-A2,LIB0001 (Index A),4.6,x,sample,A,contamination,selected
ID3227,EXT00001,A,3,EXT-MX001-A3,38.72,LIB-MX001-A3,LIB0001 (Index A),6.4,x,sample,A,contamination,selected
ID1244,EXT00001,A,4,EXT-MX001-A4,52.38,LIB-MX001-A4,LIB0001 (Index A),4.9,x,sample,A,contamination,selected
ID1668,EXT00001,A,5,EXT-MX001-A5,40.82,LIB-MX001-A5,LIB0001 (Index A),7.4,x,sample,A,contamination,selected
ID1411,EXT00001,A,6,EXT-MX001-A6,38.1,LIB-MX001-A6,LIB0001 (Index A),3.3,,sample,A,,#N/A
ID1495,EXT00001,A,7,EXT-MX001-A7,22.96,LIB-MX001-A7,LIB0001 (Index A),3.2,,sample,A,,#N/A
ID1615,EXT00001,A,8,EXT-MX001-A8,58.49,LIB-MX001-A8,LIB0001 (Index A),4.8,,sample,A,,#N/A
ID3079,EXT00001,A,9,EXT-MX001-A9,20.55,LIB-MX001-A9,LIB0001 (Index A),4.3,,sample,A,,#N/A
ID3021,EXT00001,A,10,EXT-MX001-A10,63.97,LIB-MX001-A10,LIB0001 (Index A),4.8,,sample,A,,#N/A
ID1951,EXT00001,A,11,EXT-MX001-A11,49.23,LIB-MX001-A11,LIB0001 (Index A),5.6,,sample,A,,#N/A
ID1987,EXT00001,A,12,EXT-MX001-A12,26.19,LIB-MX001-A12,LIB0001 (Index A),0.0,x,sample,A,lowyield,selected
ID1656,EXT00001,B,1,EXT-MX001-B1,2.06,LIB-MX001-B1,LIB0001 (Index A),7.8,x,sample,A,contamination,selected
ID1845,EXT00001,B,2,EXT-MX001-B2,28.59,LIB-MX001-B2,LIB0001 (Index A),4.3,x,sample,A,contamination,selected
ID1722,EXT00001,B,3,EXT-MX001-B3,211.54,LIB-MX001-B3,LIB0001 (Index A),4.9,x,sample,A,contamination,selected
ID1803,EXT00001,B,4,EXT-MX001-B4,73.6,LIB-MX001-B4,LIB0001 (Index A),6.5,x,sample,A,contamination,selected
ID3051,EXT00001,B,5,EXT-MX001-B5,161,LIB-MX001-B5,LIB0001 (Index A),6.4,x,sample,A,contamination,selected
ID1327,EXT00001,B,6,EXT-MX001-B6,65.76,LIB-MX001-B6,LIB0001 (Index A),2.9,,sample,A,,#N/A
ID3068,EXT00001,B,7,EXT-MX001-B7,404.35,LIB-MX001-B7,LIB0001 (Index A),5.9,,sample,A,,#N/A
ID1759,EXT00001,B,8,EXT-MX001-B8,51.79,LIB-MX001-B8,LIB0001 (Index A),5.4,,sample,A,,#N/A
ID1690,EXT00001,B,9,EXT-MX001-B9,256.81,LIB-MX001-B9,LIB0001 (Index A),8.0,,sample,A,,#N/A
ID1329,EXT00001,B,10,EXT-MX001-B10,48.21,LIB-MX001-B10,LIB0001 (Index A),7.1,,sample,A,,#N/A
ID1797,EXT00001,B,11,EXT-MX001-B11,1.11,LIB-MX001-B11,LIB0001 (Index A),7.9,,sample,A,,#N/A
